family_id,family,variation,alias,parents,children,description,parameters,upper_bound,lower_bound,domain
14.0,Minimum Spanning Tree (Mst),"Directed (Optimum Branchings), Super Dense MST",,"Directed (Optimum Branchings), General MST",,"A minimum spanning tree (MST) or minimum weight spanning tree is a subset of the edges of a connected; edge-weighted undirected graph that connects all the vertices together; without any cycles and with the minimum possible total edge weight. Here, we're given a directed graph with a root and $E=\Omega(V^2)$ edges, and we wish to find a spanning arborescence of minimum weight that is rooted at the root.","$V$: number of vertices
$E$: number of edges
$U$: maximum edge weight",O(V^2),Omega(V^2),Combinatorics
14.0,Minimum Spanning Tree (Mst),Directed Spanning Forest,,"Directed (Optimum Branchings), General MST",,,,,,
14.0,Minimum Spanning Tree (Mst),all but very sparse graphs,,,,,,,,
15.0,Closest Pair Problem,"k-dimensional space, $l_m$ (or $l_\infty$) norm",,,"2-dimensional space, $l_m$ (or $l_\infty$) norm","Given $n$ points in metric space, typically $k$-dimensional space equipped with $l_m$ (or $l_\infty$) norm, find a pair of points with the smallest distance between them.","$n$: number of points
$k$: dimension of space",O(kn loglogn+n*3^k) or O(kn logn),,Image Processing
15.0,Closest Pair Problem,"2-dimensional space, $l_m$ (or $l_\infty$) norm",,"k-dimensional space, $l_m$ (or $l_\infty$) norm",,"Given $n$ points in 2-dimensional space equipped with the $l_m$ (or $l_\infty$) norm, find a pair of points with the smallest distance between them.","$n$: number of points
$k$: dimension of space",,,Image Processing
15.0,Closest Pair Problem,"2-dimensional space, Euclidean metric",,Euclidean space in k dimensions,2-dimensional array representation,"Given $n$ points in 2-dimensional space equipped with the Eucildean metric, find a pair of points with the smallest distance between them.","$n$: number of points
$k$: dimension of space",,,Image Processing
15.0,Closest Pair Problem,Euclidean space in k dimensions,,,"2-dimensional space, Euclidean metric",,,,,
15.0,Closest Pair Problem,2-dimensional array representation,,"2-dimensional space, Euclidean metric",,"Given $n$ points in 2-dimensional space in array representation, find a pair of points with the smallest distance between them.","$n$: number of points
$k$: dimension of space",,,Image Processing
16.0,Shortest Path (Directed Graphs),General Weights,,,"General Weights, Undirected; Nonnegative Weights; 1-sensitive (3/2)-approximate ss-shortest paths","The shortest path problem is the problem of finding a path between two vertices (or nodes) in a graph such that the sum of the weights of its constituent edges is minimized. Here, the weights can be any real number.","$V$: number of vertices
$E$: number of edges
$L$: maximum absolute value of edge cost",,,Combinatorics
16.0,Shortest Path (Directed Graphs),"General Weights, Undirected",,General Weights,,,,,,
16.0,Shortest Path (Directed Graphs),Nonnegative Weights,,General Weights,"Nonnegative Weights, Undirected; Nonnegative Integer Weights; st-Shortest Path","The shortest path problem is the problem of finding a path between two vertices (or nodes) in a graph such that the sum of the weights of its constituent edges is minimized. Here, the weights are restricted to be nonnegative.","$V$: number of vertices
$E$: number of edges
$L$: maximum absolute value of edge cost",O(E + V log V),,Combinatorics
16.0,Shortest Path (Directed Graphs),"Nonnegative Weights, Undirected",,Nonnegative Weights,,,,,,
16.0,Shortest Path (Directed Graphs),"Undirected, Nonnegative Weights",,Nonnegative Weights,,,,,,
