family,variation,algorithm,year,time_class,time_expr,time_encoding,space_class,space_expr,looked_at,approximate,heuristic,randomized,model,authors,title,paper_url,doi,description,remarks
Maximum Cardinality Matching,General Graphs MCM (Adjacency Matrix Model),"Kimmel, Witter",2021,4.3,O(n^(3/4)*sqrt(m+n)),,,,1.0,,,,Quantum Computing,"['Shelby Kimmel', 'R. Teal Witter']",['A Query-Efficient Quantum Algorithm for Maximum Matching on General Graphs'],https://arxiv.org/pdf/2010.02324,10.48550/arXiv.2010.02324,Quantum algorithm,
Maximum Cardinality Matching,Bipartite Graphs MCM (Adjacency List Model),"Ambainis, Spalek 1",2005,4.6,O(n*sqrt(n+m)*log(n)),,,,1.0,,,,Quantum Computing,"['Andris Ambainis', 'Robert Špalek']",['Quantum Algorithms for Matching and Network Flows'],https://arxiv.org/pdf/quant-ph/0508205,10.48550/arXiv.quant-ph/0508205,Quantum algorithm,
Maximum Cardinality Matching,Bipartite Graphs MCM (Adjacency Matrix Model),"Ambainis, Spalek 1",2005,5.4,O(n^2*log(n)),,,,1.0,,,,Quantum Computing,"['Andris Ambainis', 'Robert Špalek']",['Quantum Algorithms for Matching and Network Flows'],https://arxiv.org/pdf/quant-ph/0508205,10.48550/arXiv.quant-ph/0508205,Quantum algorithm,
Maximum Cardinality Matching,Bipartite Graphs MCM (Adjacency List Model),Furrow,2006,4.6,O(n*sqrt((n+m)*log(n))),,,,1.0,,,,Quantum Computing,['Bartholomew Furrow'],['A Panoply of Quantum Algorithms'],https://arxiv.org/pdf/quant-ph/0606127,10.48550/arXiv.quant-ph/0606127,Quantum algorithm,
Maximum Cardinality Matching,Bipartite Graphs MCM (Adjacency Matrix Model),Furrow,2006,5.4,O(n^2*sqrt(log(n))),,,,1.0,,,,Quantum Computing,['Bartholomew Furrow'],['A Panoply of Quantum Algorithms'],https://arxiv.org/pdf/quant-ph/0606127,10.48550/arXiv.quant-ph/0606127,Quantum algorithm,
Maximum Cardinality Matching,Bipartite Graphs MCM (Adjacency Matrix Model),"Lin, Lin",2014,4.5,O(n^(3/2)*p^(1/4)),,,,1.0,,,,Quantum Computing,"['Cedric Yen-Yu Lin', 'Han-Hsuan Lin']",['Upper bounds on quantum query complexity inspired by the Elitzur-Vaidman bomb tester'],https://arxiv.org/pdf/1410.0932,10.48550/arXiv.1410.0932,Quantum algorithm,Original paper states a different time complexity O(n^(7/4)) which is the same as the recorded time complexity whenever p = O(n)
Maximum Cardinality Matching,Bipartite Graphs MCM (Adjacency List Model),"Beighi, Taghavi",2020,4.3,O(n^(3/4)*sqrt(m+n)),,,,1.0,,,,Quantum Computing,"['Salman Beigi', 'Leila Taghavi']",['Quantum Speedup Based on Classical Decision Trees'],https://arxiv.org/pdf/1905.13095,10.48550/arXiv.1905.13095,Quantum algorithm,
Maximum Cardinality Matching,Bipartite Graphs MCM (Adjacency Matrix Model),"Blikstad, Van Den Brand, Efron, Mukhopaghyay, Nanongkai",2022,4.7,O(n^(3/2)*log^2(n)),,,,1.0,,,,Quantum Computing,"['Joakim Blikstad', 'Jan van den Brand', 'Yuval Efron', 'Sagnik Mukhopadhyay', 'Danupon Nanongkai']",['Nearly Optimal Communication and Query Complexity of Bipartite Matching'],https://arxiv.org/pdf/2208.02526,10.48550/arXiv.2208.02526,Quantum algorithm,
Maximum-Weight Matching,Bipartite Maximum-Weight Matching (Adjacency List Model),Dörn 2,2009,4.2,O(n*sqrt(m)*N*log^2(n)),,,,1.0,,,,Quantum Computing,['Sebastian Dörn'],['Quantum Algorithms for Matching Problems'],https://www.researchgate.net/publication/220543780_Quantum_Algorithms_for_Matching_Problems,10.1007/s00224-008-9118-x,Quantum algorithm,
Maximum-Weight Matching,Bipartite Maximum-Weight Matching (Adjacency Matrix Model),Dörn 2,2009,5.5,O(n^2*N*log^2(n)),,,,1.0,,,,Quantum Computing,['Sebastian Dörn'],['Quantum Algorithms for Matching Problems'],https://www.researchgate.net/publication/220543780_Quantum_Algorithms_for_Matching_Problems,10.1007/s00224-008-9118-x,Quantum algorithm,
